filename,ground_truth,vocab_list
5348024557507397_f1882_chunk_0_subchunk_1.wav,आई पी एफ ओ साइन please note इन ओ tee पी मोबाइल नम्बर nau आठ छः छः एक छः चार एक शून्य नौ तीन पर भेज दिया गया है,"['मोबाइल', 'एक', 'चार', 'दिया', 'आई', 'आठ', 'ओ', 'भेज', 'नम्बर', 'पर', 'है', 'इन', 'छः', 'nau', 'tee', 'एफ', 'शून्य', 'साइन', 'note', 'नौ', 'please', 'गया', 'पी', 'तीन']"
5348024557507398_f2204_chunk_0_subchunk_1.wav,paln,['paln']
5348024557507406_f1883_chunk_0_subchunk_1.wav,बंद,['बंद']
5348024557507412_f121_chunk_0_subchunk_1.wav,चंगलपेट तिरुवल्लूर,"['चंगलपेट', 'तिरुवल्लूर']"
5348024557507422_f572_chunk_0_subchunk_1.wav,मैं उन्हें यह बताते हुए शुरुआत करूंगी कि यह मेरी पसंदीदा डिश [Dish] में से एक है और यही कारण है कि मैंने इसे बनाया था,"['एक', 'से', 'करूंगी', 'शुरुआत', 'उन्हें', 'था', 'यह', 'डिश', 'कारण', 'है', 'में', 'यही', 'इसे', 'बताते', 'कि', 'और', 'मेरी', 'मैंने', 'पसंदीदा', '[Dish]', 'मैं', 'बनाया', 'हुए']"
5348024557507422_f572_chunk_1_subchunk_1.wav,और इस डीश [Dish] के क्या-क्या फ़ायदे हैं यह भी बता सकते हैं कि इस डीश [Dish] को बनाने में ज़्यादा समय भी नहीं लगता है और इस डीश [Dis[START]h] में किन-किन सामग्री का उ<b>पयोग होत</b>ा है और किन मात्रा में होता ह#$%ै,"['होता', 'किन-किन', 'ह#$%ै', 'को', 'सामग्री', 'भी', 'हैं', 'किन', 'उ<b>पयोग', '[Dis[START]h]', 'बनाने', 'यह', 'का', 'है', 'में', 'सकते', 'कि', 'नहीं', 'बता', 'होत</b>ा', 'के', 'फ़ायदे', 'क्या-क्या', 'मात्रा', 'और', 'ज़्यादा', '[Dish]', 'इस', 'समय', 'डीश', 'लगता']"
5348024557507422_f572_chunk_2_subchunk_1.wav,इस डिश को बनाने की प्रक्रिया को समझाना बहुत ज़रूरी है तभी दूसरा,"['प्रक्रिया', 'समझाना', 'ज़रूरी', 'दूसरा', 'तभी', 'बनाने', 'बहुत', 'को', 'इस', 'की', 'डिश', 'है']"
5348024557507424_f573_chunk_0_subchunk_1.wav,है पसंद गाना गाने मेलेडी हिंदी ज़्यादातर मुझे और हूँ करती प्रयास का लेने भाग में कार्यक्रम,"['में', 'गाना', 'मुझे', 'मेलेडी', 'करती', 'हिंदी', 'कार्यक्रम', 'प्रयास', 'गाने', 'का', 'ज़्यादातर', 'भाग', 'है', 'हूँ', 'पसंद', 'लेने', 'और']"
5348024557507424_f573_chunk_1_subchunk_1.wav,हैं आते पसंद सबको भजन मेरे और हूँ गाती भजन भी में कीर्तन के आदि के जी कृष्ण में जन्माष्टमी और के जी गणेश में चतुर्थी गणेश के रानी माता में नवरात्रि कि जैसे त्योहार एक हर मैं।यह बिल्कुल गलत है। एकदम सही बात है,"['एक', 'कीर्तन', 'जन्माष्टमी', 'आते', 'आदि', 'नवरात्रि', 'बात', 'हूँ', 'भी', 'हैं', 'एकदम', 'गाती', 'त्योहार', 'हर', 'मेरे', 'भजन', 'है', 'में', 'माता', 'सही', 'मैं।यह', 'गणेश', 'कि', 'बिल्कुल', 'सबको', 'के', 'है।', 'जी', 'पसंद', 'कृष्ण', 'और', 'रानी', 'चतुर्थी', 'जैसे', 'गलत']"
5348024557507424_f573_chunk_2_subchunk_1.wav,मुझे अपने पिछले कार्यालय में एक मिलन समारोह में एक बार पुरस्कार भी दिया गया था और मुझे इस बार बहुत आनंद आता है एकदम सही बात for example है,"['समारोह', 'एक', 'दिया', 'बार', 'आनंद', 'बात', 'मिलन', 'भी', 'कार्यालय', 'एकदम', 'था', 'पिछले', 'में', 'है', 'सही', 'पुरस्कार', 'for', 'अपने', 'और', 'example', 'मुझे', 'गया', 'आता', 'बहुत', 'इस']"
5348024557507425_f329_chunk_0_subchunk_1.wav,प्रदर्शन के lie एक gana चुनना कठिन for example है लेकिन कभी कभी chunauteepoorn kam भी हो सकता है मुख्य रूप से जो please note चीज़ें मुझे ऐसा गाना चुनने men मदद करती है जो मेरी प्रतिभा को प्रदर्शित करती है वह है मेरे प्रदर्शन का उद्देश्य जो अवसर पर आधारित है,"['एक', 'से', 'वह', 'मुख्य', 'chunauteepoorn', 'को', 'चीज़ें', 'भी', 'कठिन', 'lie', 'गाना', 'रूप', 'आधारित', 'सकता', 'लेकिन', 'ऐसा', 'मेरे', 'प्रदर्शित', 'का', 'करती', 'हो', 'है', 'पर', 'कभी', 'मदद', 'for', 'men', 'चुनने', 'चुनना', 'के', 'जो', 'gana', 'note', 'example', 'please', 'अवसर', 'मेरी', 'मुझे', 'kam', 'प्रतिभा', 'उद्देश्य', 'प्रदर्शन']"
5348024557507425_f329_chunk_1_subchunk_1.wav,prdrshn की लम्बाई ताकि दिए गए समय में हो सके और अन्य प्रकार के उपस्थित दर्शक जिनकी उपेक्षा पूरी करनी है अंत men ऐसा गीत चुनना महत्त्वपूर्ण है जिसे प्रस्तुत करने में में हमें aannd आता है,"['प्रस्तुत', 'प्रकार', 'aannd', 'prdrshn', 'की', 'हमें', 'गए', 'ताकि', 'ऐसा', 'जिनकी', 'अन्य', 'दर्शक', 'करनी', 'हो', 'है', 'सके', 'में', 'अंत', 'पूरी', 'करने', 'उपेक्षा', 'दिए', 'men', 'चुनना', 'जिसे', 'के', 'महत्त्वपूर्ण', 'और', 'आता', 'लम्बाई', 'समय', 'गीत', 'उपस्थित']"
5348024557507426_f575_chunk_0_subchunk_1.wav,तमिलनाडु दक्षिण भारत का एक ऐसा राज्य है जो अपनी समृद्ध संस्कृति विरासत और संगीत प्रेम के लिए जाना जाता है हालांकि कारोकी बार दुनिया के कुछ अन्य हिस्सों की तरह तरह प्रचलित नहीं है फिर भी तमिलनाडु में कई स्थान हैं जहाँ टूरिस्ट आनंद ले सकते हैं,"['एक', 'दक्षिण', 'भारत', 'बार', 'आनंद', 'लिए', 'की', 'अपनी', 'भी', 'हैं', 'कुछ', 'ऐसा', 'अन्य', 'टूरिस्ट', 'जाता', 'स्थान', 'का', 'जहाँ', 'है', 'में', 'दुनिया', 'तमिलनाडु', 'जाना', 'समृद्ध', 'संस्कृति', 'सकते', 'तरह', 'कई', 'नहीं', 'के', 'जो', 'और', 'प्रचलित', 'राज्य', 'कारोकी', 'हिस्सों', 'हालांकि', 'फिर', 'ले', 'विरासत', 'संगीत', 'प्रेम']"
5348024557507426_f575_chunk_1_subchunk_1.wav,कि टेन डाउनिंग रोड चेन्नई टी नगर चेन्नई में स्थित यह एक लोकप्रिय पब और रेस्टोरेंट है जो अपने ऊर्जा व माहौल और कभी कभी कारोकी रातों के लिए जाना,"['एक', 'पब', 'लिए', 'ऊर्जा', 'रोड', 'टी', 'यह', 'है', 'में', 'कभी', 'जाना', 'कि', 'नगर', 'लोकप्रिय', 'अपने', 'रातों', 'स्थित', 'के', 'जो', 'और', 'कारोकी', 'माहौल', 'टेन', 'व', 'रेस्टोरेंट', 'डाउनिंग', 'चेन्नई']"
5348024557507426_f575_chunk_2_subchunk_1.wav,बी [B] वन [One] फोर्टि [Forty] सीक्स [Six] चेन्नई जो की एक पब [Pub] और लोंज [Lounge] है जिसका अलग ही एक स्टाइलिश [Stylish] सेटिंग [Setting] है,"['एक', '[Pub]', 'पब', '[Six]', 'की', 'फोर्टि', '[B]', '[Setting]', 'बी', 'ही', '[Forty]', 'है', 'लोंज', 'सेटिंग', 'सीक्स', 'जो', 'जिसका', 'और', 'स्टाइलिश', 'चेन्नई', '[Lounge]', '[Stylish]', 'वन', 'अलग', '[One]']"
5348024557507426_f575_chunk_3_subchunk_1.wav,गेट सभी द</b>ो हज़ार चेन#$%्नई पे नबे चेन्नई में यह एक रेस्ट<b>रों [Restro] थीम [Theme] वाला ल[START]ोंज [Lounge] है,"['एक', 'सभी', 'रेस्ट<b>रों', 'थीम', 'वाला', 'नबे', 'गेट', 'यह', 'है', 'में', 'द</b>ो', 'चेन#$%्नई', 'ल[START]ोंज', '[Restro]', '[Theme]', 'हज़ार', 'पे', 'चेन्नई', '[Lounge]']"
5348024557507426_f575_chunk_4_subchunk_1.wav,कृपया ध्यान दें कि कारोकी रात</b>ों की उपलब्धता अलग अलग हो सकती है और उनके श<b>ेड्यूल की,"['दें', 'कारोकी', 'उनके', 'कृपया', 'श<b>ेड्यूल', 'कि', 'हो', 'सकती', 'रात</b>ों', 'की', 'ध्यान', 'है', 'अलग', 'उपलब्धता', 'और']"
5348024557507426_f575_chunk_5_subchunk_1.wav,हैं सकते ले आनंद टूरिस्ट जिनका है होता प्रदर्शन संगीत और ज्ञान अक्सर उनमें क्योंकि है,"['जिनका', 'होता', 'प्रदर्शन', 'क्योंकि', 'सकते', 'टूरिस्ट', 'अक्सर', 'उनमें', 'संगीत', 'ले', 'आनंद', 'ज्ञान', 'है', 'और', 'हैं']"
5348024557507432_f574_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।हैं सकते कर साझा जीत और संघर्ष कहानियाँ अपनी लिए के करने प्रदान समझ और प्रेरणा जुड़ने से दूसरों हम जहाँ अनुभव व्यक्तिगत कि जैसे हैं होती निर्भर पर मूल्यों और अनुभव रुचियों हमारी वे हैं चाहते करना साझा और लिखना हम में बारे के चीज़ों जिन एकदम सही बात है,"['प्रेरणा', 'से', 'है।।हैं', 'निर्भर', 'हम', 'बारे', 'जिन', 'लिए', 'बात', 'अपनी', 'हैं', 'संघर्ष', 'एकदम', 'करना', 'व्यक्तिगत', 'जुड़ने', 'जहाँ', 'यह', 'है', 'पर', 'वे', 'में', 'सही', 'चाहते', 'करने', 'दूसरों', 'प्रदान', 'सकते', 'कि', 'जीत', 'बिल्कुल', 'हमारी', 'लिखना', 'कर', 'चीज़ों', 'समझ', 'के', 'होती', 'रुचियों', 'और', 'मूल्यों', 'कहानियाँ', 'साझा', 'अनुभव', 'जैसे', 'गलत']"
5348024557507432_f574_chunk_1_subchunk_1.wav,कोई सामाजिक मुद्दे ताकि सकारात्मक बदलाव और सामाजिक न्याय को बढ़ावा देने के लिए असमानता मानवाधिकारी जलवायु परिवर्तन गरीबी और मानसिक स्वास्थ्य जैसे system महत्त्वपूर्ण सामाजिक मुद्दों के बारे में जागरूक कर सकते हैं एकदम सही बात है,"['असमानता', 'जलवायु', 'गरीबी', 'बारे', 'को', 'कोई', 'लिए', 'देने', 'जागरूक', 'बात', 'हैं', 'ताकि', 'एकदम', 'मुद्दों', 'system', 'बदलाव', 'है', 'में', 'सही', 'सकते', 'मानसिक', 'कर', 'के', 'मुद्दे', 'परिवर्तन', 'बढ़ावा', 'जैसे', 'महत्त्वपूर्ण', 'सकारात्मक', 'और', 'स्वास्थ्य', 'सामाजिक', 'मानवाधिकारी', 'न्याय']"
5348024557507432_f574_chunk_2_subchunk_1.wav,हम doosron को स्वस्थ जीवनशैली बनाए रखने और shareerik या मानसिक svasth चुनौतियों से निपटने के बारे में शिक्षित करने के लिए स्वास्थ्य during फिटनेस और कल्याण के बारे में भी लिख सकते हैं,"['shareerik', 'रखने', 'से', 'चुनौतियों', 'हम', 'बारे', 'शिक्षित', 'को', 'लिए', 'भी', 'हैं', 'during', 'निपटने', 'में', 'करने', 'सकते', 'मानसिक', 'के', 'फिटनेस', 'और', 'स्वास्थ्य', 'लिख', 'जीवनशैली', 'कल्याण', 'स्वस्थ', 'svasth', 'doosron', 'बनाए', 'या']"
5348024557507432_f574_chunk_3_subchunk_1.wav,अपने अनुभव को भी साझा krne के लिए यात्रा और संस्कृति के बारे में और दूसरों को प्रेरित करने और उनको उत्थान krne के लिए लिए इंस्पिरेशनल और motiveshnl कंटेंट भी लिख सकते हैं,"['उत्थान', 'बारे', 'को', 'लिए', 'भी', 'हैं', 'इंस्पिरेशनल', 'krne', 'में', 'motiveshnl', 'कंटेंट', 'करने', 'दूसरों', 'संस्कृति', 'सकते', 'अपने', 'के', 'और', 'लिख', 'अनुभव', 'साझा', 'प्रेरित', 'यात्रा', 'उनको']"
5348024557507432_f574_chunk_4_subchunk_1.wav,जानकारी अनुभव और ज्ञान साझा करना दूसरों से जुड़ने शिक्षित करने और समाज की भलाई में योगदान करने का एक प्रभावशाली तरीका हो हो सकता है,"['प्रभावशाली', 'एक', 'से', 'समाज', 'शिक्षित', 'तरीका', 'की', 'सकता', 'करना', 'जानकारी', 'ज्ञान', 'जुड़ने', 'का', 'भलाई', 'हो', 'है', 'में', 'करने', 'दूसरों', 'और', 'अनुभव', 'साझा', 'योगदान']"
5348024557507435_f122_chunk_0_subchunk_1.wav,हाँ मेरे घर में भी तुलसी और अन्य जड़ी बूटी पौधे हैं तुलसी और अन्य जड़ी बूटी जैसे पौधे चेन्नई के घरेलू बगीचों और घरों में आम हैं तुलसी रूप से भारतीय घरों में महत्त्वपूर्ण स्वा सांस्कृतिक और औषधिय महत्त्व रखती,"['बूटी', 'स्वा', 'से', 'सांस्कृतिक', 'भी', 'घरेलू', 'हैं', 'रूप', 'अन्य', 'मेरे', 'भारतीय', 'महत्त्व', 'में', 'तुलसी', 'आम', 'पौधे', 'के', 'बगीचों', 'घरों', 'महत्त्वपूर्ण', 'और', 'औषधिय', 'घर', 'हाँ', 'चेन्नई', 'जैसे', 'जड़ी', 'रखती']"
5348024557507435_f122_chunk_1_subchunk_1.wav,और अक्सर इसके औषधिय गुण के लिए उगाई जाती है चेन्नई और भारत के अन्य हिस्सों में आमतौर इस्तेमाल की जाने वाली कुछ जड़ी-बूटियों में तुलसी एलौवैरा [Aloevera] हल्दी अदरक और अश्वगंधा शामिल हैं,"['भारत', 'जड़ी-बूटियों', 'जाती', '[Aloevera]', 'की', 'लिए', 'अदरक', 'हैं', 'कुछ', 'अन्य', 'हल्दी', 'है', 'में', 'तुलसी', 'अक्सर', 'जाने', 'एलौवैरा', 'गुण', 'वाली', 'अश्वगंधा', 'उगाई', 'इसके', 'के', 'शामिल', 'और', 'औषधिय', 'हिस्सों', 'चेन्नई', 'इस्तेमाल', 'आमतौर']"
5348024557507435_f122_chunk_2_subchunk_1.wav,तुलसी जैसे हर्बल [Herbal] उपचार के व[START]िभिन्न स्वास्थ्य लाभ हैं और यह शरीर की प्<b>राकृतिक रक्षा का समर्थन करने में मदद करती </b>हैं यानी वे हमारे शरीर में प्राकृतिक#$% एंटीबॉडी [Antibody] को मजबूत करने और संपूर्ण कल्याण को बढ़ावा देने में मदद करती है,"['[Herbal]', 'प्राकृतिक#$%', 'शरीर', '[Antibody]', 'को', 'की', 'देने', '</b>हैं', 'हैं', 'यह', 'का', 'करती', 'है', 'में', 'तुलसी', 'वे', 'संपूर्ण', 'उपचार', 'प्<b>राकृतिक', 'करने', 'मजबूत', 'मदद', 'हमारे', 'एंटीबॉडी', 'के', 'यानी', 'बढ़ावा', 'रक्षा', 'और', 'स्वास्थ्य', 'समर्थन', 'कल्याण', 'लाभ', 'जैसे', 'व[START]िभिन्न', 'हर्बल']"
5348024557507435_f122_chunk_3_subchunk_1.wav,जबकि एंटीबायोटिक्स प्रिस्क्र<b>िप्शन दवाई है जिसका #$%उपयोग बैक्टीरियल इ[START]ंफेक्शन के इलाज के,"['प्रिस्क्र<b>िप्शन', 'बैक्टीरियल', 'जबकि', 'के', 'जिसका', 'है', 'इलाज', 'इ[START]ंफेक्शन', 'एंटीबायोटिक्स', 'दवाई', '#$%उपयोग']"
5348024557507436_f1610_chunk_0_subchunk_1.wav,थे हुए फटे दरवाजे और थीं हुई,"['फटे', 'थीं', 'हुई', 'थे', 'दरवाजे', 'हुए', 'और']"
5348024557507438_f2202_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।सके रोक से करने ग्राउंड को गेंद में कोर्ट के पक्ष अपने को टीम विरोधी ताकि है करती काम साथ एक टीम प्रत्येक एकदम सही बात है,"['एक', 'से', 'है।।सके', 'को', 'बात', 'गेंद', 'ताकि', 'एकदम', 'यह', 'करती', 'है', 'में', 'सही', 'टीम', 'करने', 'बिल्कुल', 'अपने', 'के', 'काम', 'पक्ष', 'प्रत्येक', 'ग्राउंड', 'विरोधी', 'साथ', 'रोक', 'कोर्ट', 'गलत']"
5348024557507440_f1080_chunk_0_subchunk_1.wav,आज हुआ क्या था एकदम during सही बात है,"['during', 'एकदम', 'क्या', 'आज', 'है', 'था', 'हुआ', 'बात', 'सही']"
5348024557507441_f1879_chunk_0_subchunk_1.wav,meree सूचियों की सूची system बनाओ,"['meree', 'सूचियों', 'बनाओ', 'system', 'की', 'सूची']"
5348024557507445_f1873_chunk_0_subchunk_1.wav,मैं पाँच सौ रुपये का bloo टोकाई कॉफ़ी रोस्टर्स रोस्टर्स ख़रीदना चाहता हूँ,"['पाँच', 'bloo', 'चाहता', 'कॉफ़ी', 'ख़रीदना', 'रोस्टर्स', 'रुपये', 'का', 'मैं', 'टोकाई', 'हूँ', 'सौ']"
5348024557507447_f911_chunk_0_subchunk_1.wav,कपिवा आँवला जूस के बजाय मुझे स्वस्तिक्स स्वस्तिक्स बादाम ड्रिंक डिलीवर किया गया,"['बजाय', 'बादाम', 'कपिवा', 'मुझे', 'किया', 'आँवला', 'जूस', 'गया', 'डिलीवर', 'के', 'स्वस्तिक्स', 'ड्रिंक']"
5348024557507450_f1572_chunk_0_subchunk_1.wav,सात हज़ार रुपये का भुगतान मेरे पेटीएम पेमेंट्स बैंक खाते वन टू फ़ाइव टू एट टू सिक्स थ्री फ़ाइव सिक्स सिक्स फ़ाइव से सिद्धांत मावी को,"['थ्री', 'फ़ाइव', 'से', 'भुगतान', 'बैंक', 'को', 'पेमेंट्स', 'सिक्स', 'सात', 'पेटीएम', 'मेरे', 'टू', 'का', 'एट', 'खाते', 'मावी', 'सिद्धांत', 'हज़ार', 'रुपये', 'वन']"
5348024557507451_f1874_chunk_0_subchunk_1.wav,सिद्धांत मावी को थर्टी [Thirty] थउजेंड [Thousand] [horn] रुपये की राशि ट्रांसफ़र [Transfer] करें और पूरे साल के लिए हर महीने इसका एक चौथाई हिस्सा स्वतः चुकाएँ,"['एक', '[horn]', 'साल', 'इसका', 'महीने', 'को', 'लिए', 'की', '[Transfer]', 'ट्रांसफ़र', 'हर', '[Thousand]', 'चौथाई', 'करें', 'चुकाएँ', 'मावी', 'थर्टी', 'स्वतः', 'थउजेंड', 'सिद्धांत', 'के', 'राशि', 'और', 'पूरे', '[Thirty]', 'हिस्सा', 'रुपये']"
5348024557507452_f1875_chunk_0_subchunk_1.wav,ई [E] पि [P] #$%एफ़ [F] ओ [O] पासबूक [Passbook] </b>स्टैटमेंट [Statement] जैनरेट [Generate] करने के लिए मेरे यु [U] ए [A] एन [N] नम्बर <b>[Number] टू [Two] एट [Eight] नाइन [Nine] नाइन [Nine][START] सेवन [Seven] फाइव [Five] टू [Two] थ्री [Three] फौर [Four] टू [Two] थ्री [Three] वन [One] का उपयोग करें,"['थ्री', '[F]', '[O]', '[Seven]', 'ई', '[A]', '[Two]', 'ओ', 'लिए', '[Eight]', '[Generate]', '</b>स्टैटमेंट', '#$%एफ़', '[Nine][START]', '[Passbook]', 'एन', '[Five]', 'मेरे', 'वन', 'टू', 'का', 'नम्बर', 'करें', 'एट', 'ए', 'सेवन', 'फौर', '[U]', 'करने', '<b>[Number]', 'फाइव', 'उपयोग', 'यु', '[N]', 'के', '[E]', '[Three]', '[P]', '[Statement]', 'जैनरेट', '[Four]', 'नाइन', '[Nine]', 'पि', 'पासबूक', '[One]']"
5348024557507455_f1876_chunk_0_subchunk_1.wav,फ़ोन नम्बर सेवन थ्री ज़ीरो थ्री वन फ़ाइव फोर नाइन टू फ़ाइव सिक्स और[START],"['थ्री', 'सिक्स', 'फ़ाइव', 'फोर', 'ज़ीरो', 'टू', 'और[START]', 'नाइन', 'वन', 'नम्बर', 'फ़ोन', 'सेवन']"
5348024557507459_f1878_chunk_0_subchunk_1.wav,यह बिल्कुल,"['बिल्कुल', 'यह']"
5348024557507460_f1877_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।बाएँ एकदम सही बात है,"['एकदम', 'है', 'है।।बाएँ', 'बिल्कुल', 'यह', 'बात', 'गलत', 'सही']"
5348024557507466_f326_chunk_0_subchunk_1.wav,ई बुक बहुत अच्छा था लेआउट पढ़ने के लिए अच्छा लगता था और फॉन्ट का साइज़ भी पढ़ने के लिए सुलभ था एकदम सही during बात है,"['ई', 'लिए', 'लेआउट', 'बात', 'भी', 'during', 'एकदम', 'साइज़', 'था', 'का', 'बुक', 'है', 'सही', 'के', 'और', 'पढ़ने', 'बहुत', 'अच्छा', 'सुलभ', 'फॉन्ट', 'लगता']"
5348024557507467_f652_chunk_0_subchunk_1.wav,मैं जो for example ई बुक लिया अमेज़ॉन से उसका कॉपी अच्छा नहीं था,"['लिया', 'example', 'उसका', 'for', 'से', 'कॉपी', 'नहीं', 'ई', 'जो', 'मैं', 'बुक', 'अमेज़ॉन', 'अच्छा', 'था']"
5348024557507467_f652_chunk_1_subchunk_1.wav,बहुत करेक्शन्स the उसमें पेज लेआउट भी पढ़ने के के लिए ठीक ठाक नहीं थे,"['करेक्शन्स', 'ठीक', 'उसमें', 'पढ़ने', 'थे', 'ठाक', 'पेज', 'नहीं', 'बहुत', 'the', 'के', 'लिए', 'लेआउट', 'भी']"
5348024557507467_f652_chunk_2_subchunk_1.wav,और बहुत बहुत पेजों पेजेस जंबल भी हुए थे,"['पेजेस', 'जंबल', 'बहुत', 'पेजों', 'थे', 'भी', 'हुए', 'और']"
5348024557507495_f1035_chunk_0_subchunk_1.wav,दें कि एक बार जब कोई आपके मनी को,"['जब', 'दें', 'एक', 'मनी', 'कि', 'को', 'बार', 'कोई', 'आपके']"
5348024557507495_f1035_chunk_1_subchunk_1.wav,लेता है तो जारी कर्ता से आपके पैसे वापस मिलने की संभावना,"['जारी', 'तो', 'से', 'मिलने', 'संभावना', 'कर्ता', 'की', 'वापस', 'है', 'पैसे', 'लेता', 'आपके']"
5348024557507495_f1035_chunk_2_subchunk_1.wav,बहुत कम<b></b> #$%या न [START]के,"['न', '[START]के', 'बहुत', '#$%या', 'कम<b></b>']"
5348024557507495_f1035_chunk_3_subchunk_1.wav,#$%बराबर,['#$%बराबर']
5348024557507498_f1016_chunk_0_subchunk_1.wav,हैं उपलब्ध अभी सूचियाँ,"['उपलब्ध', 'अभी', 'सूचियाँ', 'हैं']"
5348024557507500_f1216_chunk_0_subchunk_1.wav,यह बिल्कुल गलत है।।है करना क्या कल मुझे एकदम सही बात है,"['क्या', 'एकदम', 'मुझे', 'करना', 'है', 'है।।है', 'बिल्कुल', 'कल', 'यह', 'बात', 'गलत', 'सही']"
5348024557507503_f758_chunk_0_subchunk_1.wav,कल पर for example डिलवरी किए गए ऑर्डर को दोहराएँ लेकिन कोलगेट माउतवॉश के बजाय चार कवच फेस मास्क जोड़े एकदम सही बात है,"['ऑर्डर', 'चार', 'को', 'कल', 'जोड़े', 'गए', 'बात', 'कोलगेट', 'बजाय', 'एकदम', 'लेकिन', 'मास्क', 'डिलवरी', 'है', 'पर', 'कवच', 'सही', 'for', 'फेस', 'के', 'किए', 'example', 'माउतवॉश', 'दोहराएँ']"
5348024557507504_f1217_chunk_0_subchunk_1.wav,क्या मैं दस पाउच चौबीस मात्रा काबुली चने की em आर पी जान सकता हूँ please note,"['note', 'please', 'क्या', 'सकता', 'em', 'चने', 'पाउच', 'चौबीस', 'मात्रा', 'आर', 'पी', 'मैं', 'जान', 'की', 'दस', 'हूँ', 'काबुली']"
5348024557507508_f762_chunk_0_subchunk_1.wav,क्या मैं एकम फाउंडेशन को दान कर सकता सकता hooँ,"['क्या', 'सकता', 'hooँ', 'कर', 'को', 'मैं', 'दान', 'फाउंडेशन', 'एकम']"
5348024557507509_f1214_chunk_0_subchunk_1.wav,रुपया छः हज़ार रुपये का भुगतान मेरे जियो पेमेंट्स बैंक खाते खाते चार पाँच एक आठ एक दो,"['पेमेंट्स', 'हज़ार', 'एक', 'खाते', 'चार', 'पाँच', 'छः', 'रुपया', 'मेरे', 'जियो', 'भुगतान', 'बैंक', 'दो', 'रुपये', 'का', 'आठ']"
